ADC_channel,ACL,LCM
0,None,None
1,None,None
2,None,None
3,None,None
4,ACL-101,LCM-113
5,ACL-101,LCM-113
6,ACL-101,LCM-114
7,ACL-101,LCM-114
8,ACL-101,LCM-115
9,ACL-101,LCM-115
10,ACL-103,LCM-116
11,ACL-103,LCM-116
12,ACL-103,LCM-117
13,ACL-103,LCM-117
14,ACL-103,LCM-118
15,ACL-103,LCM-118
16,None,None
17,None,None
18,None,None
19,None,None
20,ACL-102,LCM-101
21,ACL-102,LCM-101
22,ACL-102,LCM-102
23,ACL-102,LCM-102
24,ACL-102,LCM-103
25,ACL-102,LCM-103
26,ACL-104,LCM-104
27,ACL-104,LCM-104
28,ACL-104,LCM-105
29,ACL-104,LCM-105
30,ACL-104,LCM-106
31,ACL-104,LCM-106
32,None,None
33,None,None
34,None,None
35,None,None
36,ACL-105,LCM-119
37,ACL-105,LCM-119
38,ACL-105,LCM-120
39,ACL-105,LCM-120
40,ACL-105,LCM-121
41,ACL-105,LCM-121
42,ACL-107,LCM-122
43,ACL-107,LCM-122
44,ACL-107,LCM-123
45,ACL-107,LCM-123
46,ACL-107,LCM-124
47,ACL-107,LCM-124
48,None,None
49,None,None
50,None,None
51,None,None
52,ACL-106,LCM-107
53,ACL-106,LCM-107
54,ACL-106,LCM-108
55,ACL-106,LCM-108
56,ACL-106,LCM-109
57,ACL-106,LCM-109
58,ACL-108,LCM-110
59,ACL-108,LCM-110
60,ACL-108,LCM-111
61,ACL-108,LCM-111
62,ACL-108,LCM-112
63,ACL-108,LCM-112